nome_bairro,desc_atividade,nome_grupo,n
VARZEA,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,"INSTALACAO, COLOCACAO E MONTAGEM",2
VARZEA,"Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",OUTRAS ATIVIDADES VAREJISTAS,2
VARZEA,MANUTEN E REP DE APAR ELETROMÉDICOS E ELETROTERAPÊUTICOS E EQUIP DE IRRADIAÇÃO,CONSERVAÇÃO E LIMPEZA,2
VARZEA,"MANUTENÇÃO E REPARAÇÃO DE APARELHOS E INSTRUMENTOS DE MEDIDA, TESTE E CONTROLE",CONSERVAÇÃO E LIMPEZA,2
VARZEA,MANUTENÇÃO E REPARAÇÃO DE EQUIPAMENTOS E PRODUTOS NÃO ESPECIF ANTERIORMENTE,CONSERVAÇÃO E LIMPEZA,2
VARZEA,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIP P/ USO GERAL N/ ESP ANTERIORMENTE,CONSERVAÇÃO E LIMPEZA,2
VARZEA,"MONTAG E INST DE SIST E EQUIP DE ILUM E SINALIZ EM VIAS PÚBLICAS, PORTOS E AEROPORTOS","INSTALACAO, COLOCACAO E MONTAGEM",2
VARZEA,OPERADORES TURÍSTICOS,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",2
VARZEA,OUTRAS ATIVIDADES DE PRESTACAO DE SERVICOS DE INFORMACAO N/ ESPECIF ANTERIORMENTE,SERVICOS DE INFORMATICA,2
VARZEA,OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE,DIVERSOES PUBLICAS,2
VARZEA,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE COMUNICAÇÃO,CONSERVAÇÃO E LIMPEZA,2
VARZEA,"REPRES.COMERCIAIS E AGENTES DO COMÉRCIO DE ELETRODOMÉSTICOS, MÓVEIS E ARTIGOS DE USO DOMÉSTICO","REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",2
VARZEA,REPRESENT COM E AGENTES DO COM DE PEÇAS E ACESS NOVOS E USAD P/ VEÍC AUTOMOTOR,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",2
VARZEA,REPRESENTANTES COM E AGENTES DO COM DE MATÉRIAS-PRIMAS AGRÍC E ANIMAIS VIVOS,"REPRESENTACAO, AGENCIAMENTO, CORRETAGEM",2
VARZEA,SERVIÇO DE TÁXI,TRANSPORTE E COMUNICACAO,2
VARZEA,SERVIÇOS DE ARQUITETURA,TECNICO-CIENTIFICO,2
VARZEA,SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA - SCM,TRANSPORTE E COMUNICACAO,2
VARZEA,SERVIÇOS DE OPER E FORN DE EQUIP P/ TRANSP E ELEV DE CARG E PES P/ USO EM OBRAS,GUARDA E LOCACAO DE BENS MOVEIS,2
VARZEA,Servicos de tratamento e revestimento em metais,OUTROS SERVICOS,2
VARZEA,"servicos de usinagem, tornearia e solda",OUTROS SERVICOS,2
VARZEA,ABATE DE AVES,OUTROS SERVICOS,1
VARZEA,"AGENCIAMENTO DE ESPAÇOS PARA PUBLICIDADE, EXCETO EM VEÍCULOS DE COMUNICAÇÃO","ANALISE, PESQUISA DE MERCADO E PUBLICIDADE",1
VARZEA,AGÊNCIAS DE PUBLICIDADE,"ANALISE, PESQUISA DE MERCADO E PUBLICIDADE",1
VARZEA,AGÊNCIAS DE VIAGENS,"TURISMO, HOSPEDAGEM E ASSEMELHADOS",1
VARZEA,"ALBERGUES, EXCETO ASSISTENCIAIS","TURISMO, HOSPEDAGEM E ASSEMELHADOS",1
